UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],falha_real,conjunto,faixa_desgaste
1740,H,298.5,307.9,1260,54.2,141,0,teste,100-199 min
1741,M,298.5,307.9,1640,33.1,146,0,treino,100-199 min
1742,M,298.5,308,1363,49.2,149,0,validacao,100-199 min
1743,L,298.5,308,1379,49.6,152,0,validacao,100-199 min
1744,M,298.5,308,1713,25.8,154,0,treino,100-199 min
1745,M,298.5,308,1461,51.9,157,0,treino,100-199 min
1746,L,298.5,308,1624,29.8,160,0,validacao,100-199 min
1747,L,298.4,308,1526,41.1,162,0,treino,100-199 min
1748,L,298.4,307.9,2381,14.2,164,0,validacao,100-199 min
1749,H,298.4,307.7,1626,31.1,166,0,treino,100-199 min
1750,L,298.3,307.7,1576,33.8,171,0,validacao,100-199 min
1751,M,298.4,307.8,1617,31.6,173,0,teste,100-199 min
1752,L,298.3,307.6,1942,20.6,176,0,treino,100-199 min
1753,L,298.2,307.6,1492,37.2,178,0,treino,100-199 min
1754,L,298.2,307.5,1470,51.3,180,0,teste,100-199 min
1755,M,298,307.4,1463,46.5,182,0,teste,100-199 min
1756,L,298,307.3,1424,46.5,185,0,teste,100-199 min
1757,M,298.1,307.4,1363,60.1,187,0,validacao,100-199 min
1758,M,298.1,307.4,1335,56.2,190,0,treino,100-199 min
1759,L,298.1,307.4,1608,33.9,193,0,teste,100-199 min
1760,H,298,307.4,1606,35.2,195,0,treino,100-199 min
1761,L,298.1,307.5,1684,33.1,200,0,validacao,200+ min
1762,L,298.1,307.6,1950,20.3,202,0,validacao,200+ min
1763,H,298.2,307.6,1460,48.6,204,0,treino,200+ min
1764,L,298.2,307.6,1511,31,209,1,validacao,200+ min
1765,H,298.2,307.6,1318,55.7,0,0,treino,0-99 min
1766,L,298.2,307.6,1368,51.8,5,0,validacao,0-99 min
1767,M,298.3,307.7,1717,27.1,7,0,treino,0-99 min
1768,M,298.3,307.7,1520,41.4,10,0,treino,0-99 min
1769,M,298.3,307.8,1485,42,13,0,treino,0-99 min
1770,L,298.4,307.9,1981,23.2,16,0,validacao,0-99 min
1771,H,298.4,307.9,1605,31,18,0,treino,0-99 min
1772,L,298.4,307.9,1446,45.3,23,0,treino,0-99 min
1773,L,298.4,308,1508,47.9,25,0,validacao,0-99 min
1774,L,298.5,308,1384,59.5,27,0,validacao,0-99 min
1775,M,298.5,308,1519,37.3,29,0,treino,0-99 min
1776,L,298.5,308,1404,48.1,32,0,validacao,0-99 min
1777,L,298.5,308.1,1564,31.1,34,0,treino,0-99 min
1778,H,298.6,308.2,1555,36.8,36,0,treino,0-99 min
1779,L,298.6,308.2,1325,54,41,0,treino,0-99 min
1780,M,298.6,308.2,1488,44,43,0,treino,0-99 min
1781,L,298.5,308.2,1595,32.3,46,0,teste,0-99 min
1782,L,298.5,308.1,1662,28.6,48,0,teste,0-99 min
1783,L,298.4,308,1571,37.4,50,0,validacao,0-99 min
1784,H,298.3,308,1553,41,52,0,validacao,0-99 min
1785,L,298.3,308,2886,3.8,57,1,validacao,0-99 min
1786,L,298.2,308,1538,38.2,59,0,validacao,0-99 min
1787,L,298.4,308.2,1618,33,61,0,treino,0-99 min
1788,L,298.4,308.2,1364,45.9,63,0,validacao,0-99 min
1789,L,298.3,308,1442,47.3,65,0,treino,0-99 min
1790,L,298.2,307.9,1313,67.3,67,1,treino,0-99 min
1791,L,298.2,307.9,1847,23.6,69,0,treino,0-99 min
1792,L,298.1,307.8,1524,40.8,71,0,teste,0-99 min
1793,M,298.1,307.7,1445,48,73,0,treino,0-99 min
1794,L,298.1,307.8,1761,28.2,76,0,treino,0-99 min
1795,M,298.1,307.8,1514,43.5,78,0,treino,0-99 min
1796,M,298.1,307.7,1498,38.3,81,0,treino,0-99 min
1797,H,298.1,307.6,1542,37.1,84,0,treino,0-99 min
1798,M,298,307.6,1508,41.8,89,0,validacao,0-99 min
1799,M,298,307.5,1431,52.9,92,0,treino,0-99 min
1800,M,298,307.5,1427,45.1,95,0,teste,0-99 min
1801,M,298,307.5,1524,36.3,98,0,treino,0-99 min
1802,M,298,307.5,1427,43.6,101,0,treino,100-199 min
1803,H,298.1,307.6,1496,44.1,104,0,treino,100-199 min
1804,L,298.1,307.7,1388,40.3,109,0,treino,100-199 min
1805,L,298.1,307.7,1495,48.1,111,0,validacao,100-199 min
1806,H,298.1,307.7,1376,56.2,113,0,treino,100-199 min
1807,H,298,307.6,1593,32.2,118,0,teste,100-199 min
1808,L,298,307.6,1654,28.9,123,0,treino,100-199 min
1809,L,298.1,307.7,2567,12.8,125,1,validacao,100-199 min
1810,L,298.1,307.7,1767,27,127,0,teste,100-199 min
1811,L,298.1,307.6,1364,53.8,129,0,treino,100-199 min
1812,M,298.1,307.8,1569,31.2,131,0,teste,100-199 min
1813,L,298.2,307.8,1476,36.8,134,0,teste,100-199 min
1814,L,298.1,307.7,1479,45,136,0,teste,100-199 min
1815,L,298.1,307.7,1650,34.1,138,0,treino,100-199 min
1816,M,298.1,307.6,1565,36.3,140,0,treino,100-199 min
1817,L,298.1,307.6,1460,46.5,143,0,treino,100-199 min
1818,L,298.1,307.7,1664,27.6,145,0,validacao,100-199 min
1819,M,298.1,307.7,1435,40.9,147,0,validacao,100-199 min
1820,M,298.1,307.6,2066,19.2,150,0,treino,100-199 min
1821,L,298.1,307.5,1493,43.7,153,0,treino,100-199 min
1822,L,298.1,307.6,1354,43.3,155,0,teste,100-199 min
1823,L,298.1,307.6,1488,39.4,157,0,validacao,100-199 min
1824,L,298.1,307.7,1414,48.7,159,0,treino,100-199 min
1825,L,298.1,307.5,1391,57.4,161,0,treino,100-199 min
1826,M,298,307.5,1784,27.8,163,0,treino,100-199 min
1827,H,297.8,307.3,1516,40.1,166,0,treino,100-199 min
1828,M,297.9,307.3,1420,47.8,171,0,treino,100-199 min
1829,L,297.8,307.2,1351,56.3,174,0,treino,100-199 min
1830,L,297.8,307.2,1880,23,176,0,treino,100-199 min
1831,L,297.8,307.3,1859,24,178,0,treino,100-199 min
1832,M,297.8,307.3,1315,54,180,0,validacao,100-199 min
1833,M,297.8,307.4,1330,51.7,183,0,treino,100-199 min
1834,L,297.8,307.3,1327,61,186,1,teste,100-199 min
1835,L,297.8,307.2,1498,38.1,188,0,treino,100-199 min
1836,H,297.8,307.3,1555,35.8,190,0,treino,100-199 min
1837,L,297.7,307.2,1518,35.8,195,0,treino,100-199 min
1838,L,297.7,307.2,1392,43,197,0,validacao,100-199 min
1839,M,297.8,307.2,1456,39.6,199,0,treino,100-199 min
1840,L,297.7,307.1,1715,30.2,0,0,treino,0-99 min
1841,M,297.7,307.2,1405,43.7,2,0,treino,0-99 min
1842,L,297.7,307.2,1668,37.8,5,0,validacao,0-99 min
1843,H,297.7,307.1,1855,22.5,7,0,treino,0-99 min
1844,L,297.6,307.1,1496,39.2,12,0,teste,0-99 min
1845,M,297.6,307.1,1471,44.9,14,0,treino,0-99 min
1846,L,297.7,307.2,1444,40,17,0,treino,0-99 min
1847,H,297.7,307.3,1514,38.6,19,0,treino,0-99 min
1848,L,297.8,307.3,1412,50.7,24,0,teste,0-99 min
1849,H,297.7,307.2,1429,44.1,26,0,teste,0-99 min
1850,L,297.7,307.2,1668,32.7,31,0,teste,0-99 min
1851,M,297.7,307.2,1372,52.8,33,0,teste,0-99 min
1852,M,297.7,307.3,1365,49.2,36,0,treino,0-99 min
1853,M,297.6,307.1,1526,39.1,39,0,treino,0-99 min
1854,L,297.6,307.2,1486,40.6,42,0,teste,0-99 min
1855,M,297.6,307.2,1470,42.6,44,0,treino,0-99 min
1856,H,297.7,307.3,1249,62.8,47,0,treino,0-99 min
1857,M,297.8,307.4,1752,26.1,52,0,treino,0-99 min
1858,L,297.7,307.4,1643,36.5,55,0,treino,0-99 min
1859,M,297.8,307.4,1488,36.1,57,0,treino,0-99 min
1860,L,297.8,307.4,1355,45.8,60,0,treino,0-99 min
1861,L,297.8,307.6,1607,30.3,62,0,treino,0-99 min
1862,M,297.9,307.6,1609,30.3,64,0,teste,0-99 min
1863,L,297.9,307.7,1517,44.4,67,0,treino,0-99 min
1864,M,297.9,307.7,1517,39.5,69,0,validacao,0-99 min
1865,L,297.9,307.7,1546,37.6,72,0,treino,0-99 min
1866,L,297.9,307.7,1567,34.7,74,0,treino,0-99 min
1867,M,298.1,307.9,1662,28.9,76,0,validacao,0-99 min
1868,L,298.1,307.9,1502,41.8,79,0,teste,0-99 min
1869,L,298.3,308,1361,56.9,81,0,treino,0-99 min
1870,M,298.3,308.1,1630,32.7,83,0,treino,0-99 min
1871,L,298.3,308,1486,42.3,86,0,treino,0-99 min
1872,L,298.3,308.1,1840,21.5,88,0,treino,0-99 min
1873,L,298.3,308.1,1326,58.4,90,0,validacao,0-99 min
1874,L,298.4,308.1,1367,57.8,92,0,treino,0-99 min
1875,L,298.4,308.1,1598,32.7,94,0,teste,0-99 min
1876,L,298.3,308,1363,50.1,96,0,treino,0-99 min
1877,L,298.3,308,1242,62,98,0,treino,0-99 min
1878,M,298.2,307.8,1566,33.8,100,0,treino,100-199 min
1879,M,298.1,307.7,1424,47.7,103,0,treino,100-199 min
1880,M,298.2,307.7,1608,33.8,106,0,teste,100-199 min
1881,L,298.1,307.7,1705,29.1,109,0,treino,100-199 min
1882,L,298,307.6,1548,45.8,111,0,treino,100-199 min
1883,M,298,307.6,1581,43.4,113,0,validacao,100-199 min
1884,M,298,307.6,1472,46.7,116,0,treino,100-199 min
1885,M,298,307.6,1792,26,119,0,validacao,100-199 min
1886,L,298,307.6,1683,32.8,122,0,treino,100-199 min
1887,L,297.9,307.6,1503,40.7,124,0,treino,100-199 min
1888,M,297.9,307.5,1642,32.4,126,0,treino,100-199 min
1889,M,297.8,307.4,1902,24.3,129,0,treino,100-199 min
1890,H,297.7,307.4,1432,40.2,132,0,teste,100-199 min
1891,L,297.8,307.4,1512,40.8,137,0,validacao,100-199 min
1892,L,297.7,307.4,1764,29,139,0,validacao,100-199 min
1893,M,297.8,307.4,1438,43.6,141,0,teste,100-199 min
1894,L,297.8,307.5,1631,29.9,144,0,validacao,100-199 min
1895,H,297.9,307.5,1880,23.3,146,0,teste,100-199 min
1896,L,297.9,307.6,1344,54.3,151,0,treino,100-199 min
1897,L,297.9,307.5,1574,35.8,153,0,teste,100-199 min
1898,L,297.8,307.4,1418,41.2,155,0,validacao,100-199 min
1899,L,297.8,307.5,1372,54.1,157,0,treino,100-199 min
1900,L,297.8,307.5,1388,40,159,0,treino,100-199 min
1901,H,297.9,307.6,1493,36,161,0,treino,100-199 min
1902,M,297.9,307.6,1505,40.1,166,0,validacao,100-199 min
1903,L,298,307.6,1694,29.1,169,0,treino,100-199 min
1904,L,297.9,307.6,1968,20.4,171,0,teste,100-199 min
1905,M,298,307.6,1569,35.6,173,0,teste,100-199 min
1906,L,297.9,307.6,1687,29.1,176,0,teste,100-199 min
1907,L,297.9,307.6,1430,52.4,178,0,treino,100-199 min
1908,L,297.9,307.6,1504,42.4,180,0,treino,100-199 min
1909,L,297.9,307.6,1977,20.2,182,0,treino,100-199 min
1910,L,298,307.7,1435,45.6,184,0,treino,100-199 min
1911,H,298,307.7,1547,36.8,186,0,treino,100-199 min
1912,M,298.1,307.8,1316,57.2,191,0,treino,100-199 min
1913,M,298,307.7,1621,34.9,194,0,treino,100-199 min
1914,M,298,307.8,1492,40.2,197,0,treino,100-199 min
1915,L,298,307.7,1643,32.3,200,0,teste,200+ min
1916,L,298,307.7,1492,38.7,202,0,treino,200+ min
1917,L,298,307.7,1387,50.8,204,0,teste,200+ min
1918,M,298.1,307.9,1463,47.3,206,0,treino,200+ min
1919,M,298.1,307.9,1496,40,0,0,validacao,0-99 min
1920,L,298.2,308,1658,30,3,0,teste,0-99 min
1921,L,298.1,307.9,2161,17.5,5,0,treino,0-99 min
1922,L,298.1,307.9,1665,32,7,0,treino,0-99 min
1923,L,298,307.8,1716,26.6,9,0,treino,0-99 min
1924,L,298,307.7,1529,34.1,11,0,treino,0-99 min
1925,L,297.9,307.7,1353,50.7,13,0,validacao,0-99 min
1926,L,297.9,307.7,1537,37.7,15,0,treino,0-99 min
1927,L,298,307.7,1606,30.8,17,0,teste,0-99 min
1928,H,298,307.8,1314,47.8,19,0,validacao,0-99 min
1929,L,298,307.8,1623,29.9,24,0,validacao,0-99 min
1930,M,298,307.8,1483,50.9,26,0,treino,0-99 min
1931,M,298.1,307.9,1569,37,29,0,treino,0-99 min
1932,M,298.2,308,1969,21.7,32,0,treino,0-99 min
1933,M,298.1,308,1686,29.3,35,0,treino,0-99 min
1934,L,298.1,308,1638,35.1,38,0,treino,0-99 min
1935,L,298.1,307.9,1698,33.3,40,0,treino,0-99 min
1936,M,298.1,307.9,1377,55.1,42,0,validacao,0-99 min
1937,M,298.1,308,2129,18.4,45,0,treino,0-99 min
1938,L,298.2,308,1411,42.4,48,0,treino,0-99 min
1939,L,298.1,307.9,1517,40.8,50,0,teste,0-99 min
1940,M,298.1,307.9,1303,53.9,52,0,treino,0-99 min
1941,L,298.1,307.9,1578,35.6,55,0,treino,0-99 min
1942,L,298.1,307.9,1425,58.2,57,0,treino,0-99 min
1943,L,298.1,308,1456,42.4,59,0,validacao,0-99 min
1944,L,298.1,308,1704,30.9,61,0,treino,0-99 min
1945,L,298.1,308.1,1791,27.3,63,0,treino,0-99 min
1946,L,298.1,308.1,1616,32.8,65,0,treino,0-99 min
1947,L,298.2,308.1,1622,34.9,67,0,teste,0-99 min
1948,L,298.2,308.1,1462,49.9,69,0,treino,0-99 min
1949,L,298.1,308.1,1410,45.8,71,0,treino,0-99 min
1950,M,298.1,308,1543,41.9,73,0,treino,0-99 min
1951,M,298,307.9,1479,47.6,76,0,teste,0-99 min
1952,L,298,307.8,1839,22.7,79,0,treino,0-99 min
1953,L,298,307.8,1266,60.5,81,0,treino,0-99 min
1954,L,297.9,307.7,1593,34.9,83,0,treino,0-99 min
1955,L,297.9,307.8,1459,46.9,85,0,treino,0-99 min
1956,L,297.9,307.7,1308,55.2,87,0,validacao,0-99 min
1957,M,297.9,307.7,1364,46.8,89,0,validacao,0-99 min
1958,H,297.9,307.7,1618,35.9,92,0,teste,0-99 min
1959,H,297.9,307.7,1464,43.2,97,0,validacao,0-99 min
1960,M,297.8,307.6,1352,49.4,102,0,teste,100-199 min
1961,L,297.8,307.6,1446,51.4,105,0,treino,100-199 min
1962,L,297.8,307.5,1448,51.2,107,0,treino,100-199 min
1963,L,297.8,307.5,1391,48.6,109,0,validacao,100-199 min
1964,L,297.7,307.5,1379,43.3,111,0,treino,100-199 min
1965,M,297.8,307.5,1405,46.9,113,0,teste,100-199 min
1966,L,297.8,307.5,1581,33.1,116,0,treino,100-199 min
1967,L,297.9,307.6,1515,40.5,118,0,validacao,100-199 min
1968,L,297.9,307.6,1589,37.8,120,0,treino,100-199 min
1969,L,298,307.6,1281,50.8,122,0,teste,100-199 min
1970,H,297.8,307.5,1631,31.3,124,0,treino,100-199 min
1971,M,297.9,307.6,1202,67,129,0,treino,100-199 min
1972,L,297.9,307.6,1298,52.7,132,0,treino,100-199 min
1973,L,297.9,307.6,1612,30.7,134,0,treino,100-199 min
1974,L,297.9,307.6,1747,25.3,136,0,treino,100-199 min
1975,L,298,307.6,1450,48.7,138,0,treino,100-199 min
1976,L,298,307.7,1422,45.6,140,0,treino,100-199 min
1977,M,298.1,307.7,1419,47.4,142,0,teste,100-199 min
1978,M,298.1,307.7,1633,30.7,145,0,treino,100-199 min
1979,L,298,307.7,1442,43.6,148,0,teste,100-199 min
1980,H,298,307.6,1420,45.8,150,0,treino,100-199 min
1981,M,298,307.6,1301,58.5,155,0,treino,100-199 min
1982,L,298,307.6,1385,45,158,0,teste,100-199 min
1983,M,298,307.7,1487,41.3,160,0,teste,100-199 min
1984,M,298,307.6,1459,44.4,163,0,validacao,100-199 min
1985,M,298,307.5,1387,45.5,166,0,teste,100-199 min
1986,L,298.1,307.7,1537,40.8,169,0,validacao,100-199 min
1987,L,298.1,307.6,1498,42.9,171,0,treino,100-199 min
1988,M,298.2,307.8,1599,31.2,173,0,treino,100-199 min
1989,H,298.3,307.9,1420,39.2,176,0,treino,100-199 min
1990,L,298.2,307.9,1785,23.4,181,0,treino,100-199 min
1991,L,298.2,307.8,1423,48.1,183,0,teste,100-199 min
1992,M,298.2,307.8,1583,36.6,185,0,treino,100-199 min
1993,L,298.2,307.8,1375,46.6,188,0,treino,100-199 min
1994,M,298.3,308,1463,42.5,190,0,treino,100-199 min
1995,M,298.2,307.9,1403,45.1,193,0,treino,100-199 min
1996,L,298.3,308,1451,47.1,196,0,treino,100-199 min
1997,M,298.4,308,1416,38.2,198,1,teste,100-199 min
1998,L,298.3,308.1,1672,41.3,0,0,treino,0-99 min
1999,H,298.3,308,1637,30.8,2,0,validacao,0-99 min
2000,L,298.4,308,1540,37.8,7,0,teste,0-99 min
2001,L,298.4,308.1,1279,53.1,9,0,treino,0-99 min
2002,L,298.4,308.2,1604,34.9,11,0,teste,0-99 min
2003,L,298.5,308.2,1654,27.1,13,0,treino,0-99 min
2004,M,298.5,308.2,1564,37.5,15,0,treino,0-99 min
2005,L,298.5,308.2,1451,47.5,18,0,validacao,0-99 min
2006,L,298.5,308.3,1504,38,20,0,treino,0-99 min
2007,M,298.5,308.3,1381,50.5,22,0,validacao,0-99 min
2008,L,298.6,308.4,1562,34.4,25,0,validacao,0-99 min
2009,L,298.5,308.3,1811,24.7,27,0,validacao,0-99 min
2010,M,298.6,308.3,1717,28.7,29,0,validacao,0-99 min
2011,L,298.6,308.3,1278,60.5,32,0,validacao,0-99 min
2012,L,298.7,308.5,1616,30.2,34,0,teste,0-99 min
2013,L,298.6,308.4,1397,46.4,36,0,treino,0-99 min
2014,L,298.6,308.4,1485,42.9,38,0,validacao,0-99 min
2015,L,298.6,308.4,1310,59.7,40,0,treino,0-99 min
2016,L,298.5,308.2,1301,66.3,42,1,treino,0-99 min
2017,L,298.5,308.3,1458,44,44,0,treino,0-99 min
2018,L,298.7,308.5,1483,42.5,46,0,treino,0-99 min
2019,L,298.7,308.5,1375,46.4,48,0,treino,0-99 min
2020,M,298.7,308.5,1660,27,50,0,treino,0-99 min
2021,H,298.7,308.4,1560,33.3,53,0,treino,0-99 min
2022,L,298.7,308.5,1480,42.2,58,0,treino,0-99 min
2023,L,298.7,308.4,1373,46.9,60,0,teste,0-99 min
2024,L,298.7,308.5,1444,54.2,62,0,teste,0-99 min
2025,M,298.7,308.6,1722,24.7,64,0,treino,0-99 min
2026,L,298.7,308.5,1469,39.9,67,0,validacao,0-99 min
2027,M,298.7,308.5,1360,52.9,69,0,validacao,0-99 min
2028,L,298.7,308.4,1750,25.8,72,0,treino,0-99 min
2029,M,298.7,308.3,1349,46.6,74,0,validacao,0-99 min
2030,L,298.7,308.5,1668,35.2,77,0,teste,0-99 min
2031,L,298.9,308.6,1400,49.5,79,0,teste,0-99 min
2032,L,298.8,308.6,1331,62.8,81,0,treino,0-99 min
2033,L,298.8,308.5,1444,42.2,83,0,validacao,0-99 min
2034,H,298.8,308.5,1359,47.6,85,0,teste,0-99 min
2035,M,298.8,308.5,1425,47.4,90,0,treino,0-99 min
2036,M,298.9,308.6,1469,34.2,93,0,treino,0-99 min
2037,L,299,308.7,1892,22.8,96,0,validacao,0-99 min
2038,H,299,308.7,1940,19.9,98,0,treino,0-99 min
2039,L,299,308.8,1405,55.2,103,0,treino,100-199 min
2040,M,299,308.9,1449,39.6,105,0,teste,100-199 min
2041,L,299.1,308.9,1686,29.6,108,0,validacao,100-199 min
2042,L,299.1,308.9,1680,27.2,110,0,treino,100-199 min
2043,M,299.1,308.9,1397,52.4,112,0,teste,100-199 min
2044,M,299.2,309,1597,30.3,115,0,teste,100-199 min
2045,L,299.3,309.1,1470,41.1,118,0,validacao,100-199 min
2046,M,299.3,309.1,1703,31.3,120,0,validacao,100-199 min
2047,L,299.3,309.1,1388,45.5,123,0,teste,100-199 min
2048,L,299.3,309.2,1775,24.2,125,0,teste,100-199 min
2049,L,299.3,309.2,1465,41.5,127,0,treino,100-199 min
2050,M,299.3,309.2,1586,37.9,129,0,treino,100-199 min
2051,M,299.5,309.3,1675,29.2,132,0,teste,100-199 min
2052,M,299.4,309.2,1470,44.4,135,0,teste,100-199 min
2053,L,299.5,309.3,1477,40.4,138,0,treino,100-199 min
2054,L,299.5,309.3,1382,61,140,0,teste,100-199 min
2055,M,299.6,309.4,1605,29.8,142,0,treino,100-199 min
2056,L,299.6,309.4,1643,32.9,145,0,validacao,100-199 min
2057,L,299.5,309.3,1333,54.1,147,0,treino,100-199 min
2058,L,299.5,309.3,1520,42.3,149,0,treino,100-199 min
2059,M,299.5,309.3,1902,24,151,0,treino,100-199 min
2060,H,299.5,309.4,1386,44.4,154,0,validacao,100-199 min
2061,L,299.6,309.5,1803,27.7,159,0,treino,100-199 min
2062,L,299.7,309.6,1359,50.7,161,0,treino,100-199 min
2063,M,299.7,309.6,1477,42.7,163,0,treino,100-199 min
2064,L,299.7,309.6,1321,53.4,166,0,treino,100-199 min
2065,L,299.6,309.5,1453,41.4,168,0,treino,100-199 min
2066,L,299.7,309.6,1419,45.1,170,0,validacao,100-199 min
2067,L,299.7,309.6,1512,36.2,172,0,treino,100-199 min
2068,L,299.7,309.6,1553,36.8,174,0,treino,100-199 min
2069,M,299.7,309.6,1534,39.1,176,0,validacao,100-199 min
2070,H,299.7,309.6,1553,41,179,0,treino,100-199 min
2071,L,299.7,309.5,1352,49.7,184,0,validacao,100-199 min
2072,M,299.7,309.6,1313,60,186,0,validacao,100-199 min
2073,L,299.6,309.5,1570,35.5,189,0,treino,100-199 min
2074,L,299.6,309.4,1677,31.1,191,0,treino,100-199 min
2075,L,299.5,309.4,1602,31.5,193,0,treino,100-199 min
2076,L,299.5,309.4,1390,58.8,195,1,treino,100-199 min
2077,L,299.4,309.3,1544,36,197,0,treino,100-199 min
2078,L,299.4,309.4,1701,31.2,199,0,treino,100-199 min
2079,M,299.4,309.3,1692,28.4,201,0,treino,200+ min
2080,M,299.3,309.3,1523,37.9,204,0,treino,200+ min
2081,L,299.3,309.2,2280,15.4,207,0,teste,200+ min
2082,M,299.4,309.3,1485,47.1,209,0,teste,200+ min
2083,H,299.4,309.2,1513,36.1,212,0,validacao,200+ min
2084,H,299.4,309.3,1743,28.2,0,0,treino,0-99 min
2085,L,299.5,309.3,1442,46.2,5,0,validacao,0-99 min
2086,L,299.5,309.3,1462,46.7,7,0,treino,0-99 min
2087,H,299.4,309.3,1439,49.7,9,0,teste,0-99 min
2088,L,299.5,309.3,1577,36.6,14,0,teste,0-99 min
2089,L,299.6,309.4,1331,46.4,16,0,treino,0-99 min
2090,L,299.5,309.3,1941,22.5,18,0,treino,0-99 min
2091,L,299.5,309.2,1393,47.3,20,0,treino,0-99 min
2092,L,299.4,309.2,1433,42.1,22,0,treino,0-99 min
2093,L,299.4,309.2,1444,48.2,24,0,validacao,0-99 min
2094,L,299.4,309.2,1564,39,26,0,treino,0-99 min
2095,L,299.4,309.3,1377,43.6,28,0,teste,0-99 min
2096,L,299.4,309.3,1525,41.5,30,0,validacao,0-99 min
2097,M,299.5,309.4,1387,56.2,32,0,treino,0-99 min
2098,M,299.4,309.4,1326,47.5,35,0,teste,0-99 min
2099,L,299.4,309.3,1401,59,38,0,treino,0-99 min
2100,L,299.4,309.3,1596,31.8,40,0,treino,0-99 min
2101,M,299.3,309.3,1471,46,42,0,teste,0-99 min
2102,L,299.3,309.3,1528,37.8,45,0,teste,0-99 min
2103,L,299.3,309.3,1325,62,47,0,teste,0-99 min
2104,M,299.3,309.1,1376,46.7,49,0,teste,0-99 min
2105,M,299.3,309.1,1600,35.3,52,0,teste,0-99 min
2106,L,299.3,309.1,1495,44,55,0,teste,0-99 min
2107,L,299.4,309.1,1645,28.6,57,0,validacao,0-99 min
2108,M,299.4,309.1,1417,47.3,59,0,treino,0-99 min
2109,H,299.4,309,1415,51.7,62,0,treino,0-99 min
2110,M,299.3,309,1496,43.4,67,0,treino,0-99 min
2111,H,299.3,309,1508,35,70,0,teste,0-99 min
2112,L,299.4,309,1436,47.9,75,0,treino,0-99 min
2113,L,299.5,309.1,1852,22.6,77,0,validacao,0-99 min
2114,L,299.5,309.1,1863,22.5,79,0,treino,0-99 min
2115,H,299.4,309.1,1373,44.1,81,0,teste,0-99 min
2116,L,299.4,309,1404,47.3,86,0,validacao,0-99 min
2117,M,299.4,309,1381,44.9,88,0,teste,0-99 min
2118,H,299.4,308.9,1762,29.3,91,0,treino,0-99 min
2119,H,299.3,308.9,1429,43,96,0,teste,0-99 min
2120,M,299.3,308.9,1858,24.7,101,0,teste,100-199 min
2121,H,299.2,308.8,1908,21.3,104,0,treino,100-199 min
2122,M,299.2,308.8,1503,37.4,109,0,treino,100-199 min
2123,M,299.2,308.8,1523,38.9,112,0,validacao,100-199 min
2124,L,299.3,309,1491,38.4,115,0,validacao,100-199 min
2125,L,299.2,308.9,1430,39.1,117,0,treino,100-199 min
2126,L,299.3,308.9,1258,69.4,119,1,treino,100-199 min
2127,L,299.3,309,1449,46.5,121,0,teste,100-199 min
2128,H,299.3,309,1425,40.6,123,0,validacao,100-199 min
2129,L,299.4,309,1800,24.3,128,0,treino,100-199 min
2130,H,299.4,309,1607,33.7,130,0,teste,100-199 min
2131,L,299.4,309,1391,58.2,135,0,treino,100-199 min
2132,L,299.4,309.1,1432,45.4,137,0,treino,100-199 min
2133,L,299.4,309,1660,28.4,139,0,treino,100-199 min
2134,H,299.3,309,1732,29.7,141,0,treino,100-199 min
2135,L,299.3,309,1473,46.3,146,0,teste,100-199 min
2136,L,299.3,309,1511,47.8,148,0,treino,100-199 min
2137,L,299.2,308.9,1588,41.5,150,0,treino,100-199 min
2138,L,299.3,308.9,1623,31.1,152,0,teste,100-199 min
2139,L,299.3,309,1734,30.6,154,0,treino,100-199 min
2140,L,299.3,309,1415,47.6,156,0,treino,100-199 min
2141,L,299.3,309,1419,46.6,158,0,treino,100-199 min
2142,M,299.3,308.9,1577,34.9,160,0,treino,100-199 min
2143,L,299.3,308.9,1376,60.3,163,0,treino,100-199 min
2144,M,299.3,308.8,1442,49,165,0,validacao,100-199 min
2145,L,299.4,308.9,1451,40.5,168,0,validacao,100-199 min
2146,L,299.3,308.8,1550,45.8,170,0,treino,100-199 min
2147,L,299.3,308.8,1647,32.9,172,0,validacao,100-199 min
2148,L,299.4,308.9,1550,33.7,174,0,treino,100-199 min
2149,L,299.4,308.9,1583,34.1,176,0,validacao,100-199 min
2150,L,299.4,309,1613,32.2,178,0,treino,100-199 min
2151,H,299.3,308.8,1636,35.5,180,0,validacao,100-199 min
2152,M,299.3,308.7,1289,51.5,185,0,treino,100-199 min
2153,M,299.3,308.8,1648,28.4,188,0,treino,100-199 min
2154,H,299.3,308.8,1397,45.4,191,0,validacao,100-199 min
2155,M,299.3,308.9,1767,24.8,196,0,validacao,100-199 min
2156,L,299.3,308.8,1341,47.7,199,0,validacao,100-199 min
2157,M,299.4,308.9,1457,41.5,201,0,treino,200+ min
2158,M,299.4,309,1939,19.8,204,0,treino,200+ min
2159,M,299.5,309,1399,49.7,207,0,validacao,200+ min
2160,M,299.5,309,1602,31.3,210,0,validacao,200+ min
2161,L,299.4,309,1507,41,213,0,teste,200+ min
2162,L,299.4,309.1,1464,40.5,215,0,teste,200+ min
2163,L,299.5,309.1,1336,42.1,217,0,treino,200+ min
2164,L,299.6,309.2,1422,39.8,219,0,treino,200+ min
2165,L,299.6,309.2,1540,36.7,221,0,treino,200+ min
2166,L,299.5,309.1,1476,47.8,223,0,treino,200+ min
2167,M,299.6,309.2,1867,23.4,225,1,validacao,200+ min
2168,H,299.6,309.1,1588,41.3,0,0,treino,0-99 min
